chat_stamp_id,is_default,icon_filename,tab
1,1,stamp_character1.png,キャラ
2,1,stamp_character2.png,キャラ
3,1,stamp_character3.png,キャラ
4,1,stamp_character4.png,キャラ
5,1,stamp_character5.png,キャラ
6,1,stamp_character6.png,キャラ
7,1,stamp_character7.png,キャラ
8,1,stamp_character8.png,キャラ
9,1,stamp_character9.png,キャラ
10,1,stamp_character10.png,キャラ
11,1,stamp_character11.png,キャラ
12,1,stamp_character12.png,キャラ
101,1,stamp_tit1.png,文字
102,1,stamp_tit2.png,文字
103,1,stamp_tit3.png,文字
104,1,stamp_tit4.png,文字
105,1,stamp_tit5.png,文字
106,1,stamp_tit6.png,文字
107,1,stamp_tit7.png,文字
108,1,stamp_tit8.png,文字
109,1,stamp_tit9.png,文字
110,1,stamp_tit10.png,文字
111,1,stamp_tit11.png,文字
112,1,stamp_tit12.png,文字
