gacha_id,image_filename,valid_flg,gacha_element_id,must_display,display_group_code,display_group_priority
100,GachaTop_100.png,1,100,1,100,1
102,GachaTop_102.png,3,102,1,102,1
103,GachaTop_103.png,3,103,1,103,1
104,GachaTop_104.png,3,104,1,104,1
105,GachaTop_105.png,3,105,1,105,1
106,GachaTop_106.png,3,106,1,106,1
107,GachaTop_107.png,3,107,1,107,1
108,GachaTop_108.png,3,108,1,108,1
109,GachaTop_109.png,3,109,1,109,1
110,GachaTop_110.png,3,110,1,110,1
111,GachaTop_111_2.png,3,111,1,111,1
112,GachaTop_112_2.png,3,112,1,112,1
113,GachaTop_113_2.png,3,113,1,113,1
114,GachaTop_114.png,3,114,1,114,1
115,GachaTop_115.png,3,115,1,115,1
116,GachaTop_116.png,3,116,1,116,1
117,GachaTop_117.png,3,117,1,117,1
118,GachaTop_118.png,3,118,1,118,1
119,GachaTop_119.png,3,119,1,119,1
120,GachaTop_120.png,3,120,1,120,1
121,GachaTop_121.png,3,121,1,121,1
122,GachaTop_122.png,3,122,1,122,1
123,GachaTop_123.png,3,123,1,123,1
124,GachaTop_124.png,3,124,1,124,1
125,GachaTop_125.png,3,125,1,125,1
126,GachaTop_126.png,3,126,1,126,1
127,GachaTop_127.png,3,127,1,127,1
128,GachaTop_128.png,3,128,1,128,1
129,GachaTop_129.png,3,129,1,129,1
130,GachaTop_130.png,3,130,1,130,1
131,GachaTop_131.png,3,131,1,131,1
132,GachaTop_132.png,3,132,1,132,1
133,GachaTop_133.png,3,133,1,133,1
134,GachaTop_134.png,3,134,1,134,1
135,GachaTop_135.png,3,135,1,135,1
136,GachaTop_136.png,3,136,1,136,1
138,GachaTop_138.png,3,138,1,138,1
140,GachaTop_140.png,3,140,1,140,1
142,GachaTop_142.png,3,142,1,142,1
144,GachaTop_144.png,3,144,1,144,1
146,GachaTop_146.png,3,146,1,146,1
148,GachaTop_148.png,3,148,1,148,1
149,GachaTop_149.png,3,149,1,149,1
150,GachaTop_150_2.png,3,150,1,150,1
151,GachaTop_151.png,3,151,1,151,1
152,GachaTop_152.png,3,152,1,152,1
153,GachaTop_153.png,3,153,1,153,1
154,GachaTop_154.png,3,154,1,154,1
155,GachaTop_155.png,3,155,1,155,1
156,GachaTop_156.png,3,156,1,156,1
157,GachaTop_157.png,3,157,1,157,1
158,GachaTop_158.png,3,158,1,158,1
159,GachaTop_159.png,3,159,1,159,1
160,GachaTop_160.png,3,160,1,160,1
161,GachaTop_161.png,3,161,1,161,1
162,GachaTop_162.png,3,162,1,162,1
163,GachaTop_163.png,3,163,1,163,1
164,GachaTop_164.png,3,164,1,164,1
165,GachaTop_165.png,3,165,1,165,1
166,GachaTop_166.png,3,166,1,166,1
167,GachaTop_167.png,3,167,1,167,1
168,GachaTop_168.png,3,168,1,168,1
169,GachaTop_169.png,3,169,1,169,1
170,GachaTop_170.png,3,170,1,170,1
171,GachaTop_171.png,3,171,1,171,1
172,GachaTop_172.png,3,172,1,172,1
173,GachaTop_173.png,3,173,1,173,1
174,GachaTop_174.png,3,174,1,174,1
175,GachaTop_175.png,3,175,1,175,1
176,GachaTop_164.png,3,176,1,176,1
177,GachaTop_177.png,3,177,1,177,1
178,GachaTop_178.png,3,178,1,178,1
179,GachaTop_183.png,3,179,1,179,1
180,GachaTop_180.png,3,180,1,180,1
181,GachaTop_181.png,3,181,1,181,1
182,GachaTop_182.png,3,182,1,182,1
184,GachaTop_184.png,3,184,1,184,1
185,GachaTop_185.png,3,185,1,185,1
186,GachaTop_186.png,3,186,1,186,1
187,GachaTop_187.png,3,187,1,187,1
188,GachaTop_188.png,3,188,1,188,1
189,GachaTop_177.png,3,189,1,189,1
190,GachaTop_190.png,3,190,1,190,1
196,GachaTop_196.png,3,196,1,196,1
197,GachaTop_197.png,3,197,1,197,1
198,GachaTop_198.png,3,198,1,198,1
199,GachaTop_199.png,3,199,1,199,1
200,GachaTop_200.png,0,200,1,200,1
201,GachaTop_200_2.png,0,201,1,201,1
202,GachaTop_200_3.png,3,202,1,202,1
203,GachaTop_203.png,3,203,1,203,1
204,GachaTop_200_4.png,3,204,1,204,1
205,GachaTop_200_5.png,3,205,1,205,1
206,Link_GachaTop_206.png,3,206,1,206,1
207,Link_GachaTop_207.png,3,207,1,207,1
208,Link_GachaTop_208.png,3,208,1,208,1
209,GachaTop_209.png,3,209,1,209,1
210,GachaTop_210.png,3,210,1,210,1
