gacha_id,language,detail,end_date,image_filename,start_date,title
100,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】こいつはテストガチャです。",2970-01-01 14:59:25,GachaTop_100.png,2000-01-01 15:00:34,テスト用ガチャ
102,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】<font color=""#ffab27"">8/28～9/2</font>は新ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_102.png,2000-01-01 15:00:34,レアガチャ（追加02 確率UP）
103,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】レアガチャは<font color=""#ffab27"">ポリゴン5個</font>で1回引けるよ！",2970-01-01 14:59:25,GachaTop_103.png,2000-01-01 15:00:34,レアガチャ（追加02）（大罪）
104,ja,"【<font color=""#ff2626"">アレス</font>、<font color=""#ffe22a"">イザナミ</font>、<font color=""#0093ff"">ジークフリート</font>、<font color=""#00e074"">オセ</font>をGETしよう！】<font color=""#ffab27"">9/11～9/15</font>はこの４体の出現率UP!",2970-01-01 14:59:25,GachaTop_104.png,2000-01-01 15:00:34,ピックアップ01　開始
105,ja,"【<font color=""#ff2626"">アレス</font>、<font color=""#ffe22a"">イザナミ</font>、<font color=""#0093ff"">ジークフリート</font>、<font color=""#00e074"">オセ</font>をGETしよう！】<font color=""#ffab27"">9/11～9/15</font>はこの４体の出現率UP!",2970-01-01 14:59:25,GachaTop_105.png,2000-01-01 15:00:34,ピックアップ01　あと少し
106,ja,"【<font color=""#ff2626"">アレス</font>、<font color=""#ffe22a"">イザナミ</font>、<font color=""#0093ff"">ジークフリート</font>、<font color=""#00e074"">オセ</font>をGETしよう！】<font color=""#ffab27"">9/11～9/15</font>はこの４体の出現率UP!",2970-01-01 14:59:25,GachaTop_106.png,2000-01-01 15:00:34,ピックアップ01　最終日
107,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】レアガチャは<font color=""#ffab27"">ポリゴン5個</font>で1回引けるよ！",2970-01-01 14:59:25,GachaTop_107.png,2000-01-01 15:00:34,新キャラ追加03（新撰組）
108,ja,"【超強力<font color=""#ff2626"">赤</font>ユニットをGETしよう！】<font color=""#ffab27"">9/26～9/28</font>は赤ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_108.png,2000-01-01 15:00:34,赤アップ01　開始
109,ja,"【超強力<font color=""#ff2626"">赤</font>ユニットをGETしよう！】<font color=""#ffab27"">9/26～9/28</font>は赤ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_109.png,2000-01-01 15:00:34,赤アップ0１　あと少し
110,ja,"【超強力<font color=""#ff2626"">赤</font>ユニットをGETしよう！】<font color=""#ffab27"">9/26～9/28</font>は赤ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_110.png,2000-01-01 15:00:34,赤アップ0１　最終日
111,ja,"【<font color=""#0093ff"">沖田総司</font>、<font color=""#ffe22a"">ミカエル</font>、<font color=""#00e074"">ヨルムンガンド</font>をGETしよう！】<font color=""#ffab27"">9/22～9/25</font>はこの3体の出現率UP!",2970-01-01 14:59:25,GachaTop_111_2.png,2000-01-01 15:00:34,ピックアップ02(沖田) 開始
112,ja,"【<font color=""#0093ff"">沖田総司</font>、<font color=""#ffe22a"">ミカエル</font>、<font color=""#00e074"">ヨルムンガンド</font>をGETしよう！】<font color=""#ffab27"">9/22～9/25</font>はこの3体の出現率UP!",2970-01-01 14:59:25,GachaTop_112_2.png,2000-01-01 15:00:34,ピックアップ02(沖田) あと少し
113,ja,"【<font color=""#0093ff"">沖田総司</font>、<font color=""#ffe22a"">ミカエル</font>、<font color=""#00e074"">ヨルムンガンド</font>をGETしよう！】<font color=""#ffab27"">9/22～9/25</font>はこの3体の出現率UP!",2970-01-01 14:59:25,GachaTop_113_2.png,2000-01-01 15:00:34,ピックアップ02(沖田) 最終日
114,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】<font color=""#ffab27"">9/30～10/5</font>は新ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_114.png,2000-01-01 15:00:34,新キャラ追加04(ドラゴン）確率アップ
115,ja,"【超強力<font color=""#0093ff"">青</font>ユニットをGETしよう！】<font color=""#ffab27"">10/10～10/13</font>は青ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_115.png,2000-01-01 15:00:34,青アップ01　開始
116,ja,"【超強力<font color=""#0093ff"">青</font>ユニットをGETしよう！】<font color=""#ffab27"">10/10～10/13</font>は青ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_116.png,2000-01-01 15:00:34,青アップ0１　あと少し
117,ja,"【超強力<font color=""#0093ff"">青</font>ユニットをGETしよう！】<font color=""#ffab27"">10/10～10/13</font>は青ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_117.png,2000-01-01 15:00:34,青アップ0１　最終日
118,ja,"【超強力<font color=""#00e074"">緑</font>ユニットをGETしよう！】<font color=""#ffab27"">10/5～10/7</font>は緑ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_118.png,2000-01-01 15:00:34,緑アップ01 開始
119,ja,"【超強力<font color=""#00e074"">緑</font>ユニットをGETしよう！】<font color=""#ffab27"">10/5～10/7</font>は緑ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_119.png,2000-01-01 15:00:34,緑アップ01 あと少し
120,ja,"【超強力<font color=""#00e074"">緑</font>ユニットをGETしよう！】<font color=""#ffab27"">10/5～10/7</font>は緑ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_120.png,2000-01-01 15:00:34,緑アップ01 最終日
121,ja,"【超強力<font color=""#ff2626"">赤</font>ユニットをGETしよう！】<font color=""#ffab27"">10/8～10/10</font>は赤ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_121.png,2000-01-01 15:00:34,赤アップ02開始
122,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】<font color=""#ffab27"">9/30～10/5</font>は新ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_122.png,2000-01-01 15:00:34,新キャラ追加04(ドラゴン）あと少し
123,ja,"【<font color=""#ff2626"">超</font><font color=""#ffe22a"">激</font><font color=""#0093ff"">レ</font><font color=""#00e074"">ア</font>ユニットをGETしよう！】<font color=""#ffab27"">9/30～10/5</font>は新ユニットの出現率UP!",2970-01-01 14:59:25,GachaTop_123.png,2000-01-01 15:00:34,新キャラ追加04(ドラゴン）最終日
