title_id,language,title,detail
110011,ja,歩き始めた,RANK1で獲得
110012,ja,クラフィっ子,RANK1で獲得
110021,ja,新人,RANK1で獲得
110022,ja,ひよっこクラファー,RANK1で獲得
110031,ja,上を目指す,RANK10で獲得
110032,ja,アマクラファー,RANK10で獲得
110041,ja,一般,RANK30で獲得
110042,ja,クラファー,RANK30で獲得
110051,ja,立派な,RANK50で獲得
110052,ja,クラファー先輩,RANK50で獲得
110061,ja,ハイスペック,RANK70で獲得
110062,ja,クラファー先生,RANK70で獲得
110071,ja,憧れの,RANK100で獲得
110072,ja,プロクラファー,RANK100で獲得
110081,ja,カリスマ,RANK150で獲得
110082,ja,クラファー名人,RANK150で獲得
110091,ja,伝説の,RANK200で獲得
110092,ja,クラファー王,RANK200で獲得
110101,ja,超越的な,RANK250で獲得
110102,ja,クラファー狂,RANK250で獲得
110111,ja,偉大な,RANK300で獲得
110112,ja,クラファー帝,RANK300で獲得
110121,ja,マスターオブ,RANK400で獲得
110122,ja,クラファー仙人,RANK400で獲得
120011,ja,集め始めた,ユニットカタログ100種類達成で獲得
120012,ja,ファン,ユニットカタログ100種類達成で獲得
120021,ja,巷で噂の,ユニットカタログ250種類達成で獲得
120022,ja,マニア,ユニットカタログ250種類達成で獲得
120031,ja,手当たり次第の,ユニットカタログ500種類達成で獲得
120032,ja,コレクター,ユニットカタログ500種類達成で獲得
120041,ja,博識の,ユニットカタログ750種類達成で獲得
120042,ja,マイスター,ユニットカタログ750種類達成で獲得
120051,ja,知りすぎた,ユニットカタログ1000種類達成で獲得
120052,ja,プロフェッサー,ユニットカタログ1000種類達成で獲得
120061,ja,果て無き道の,ユニットカタログ1250種類達成で獲得
120062,ja,インデックス,ユニットカタログ1250種類達成で獲得
510011,ja,祝★800万DL記念！,全世界800万ダウンロード突破記念キャンペーン中にログインで獲得
